id,name,position,predicted_total_points
655,Andre Brooks,MID,1.2223316
63,Philip Billing,MID,1.2084534
268,Tom Cairney,MID,1.1858991
351,Tommy Doyle,MID,1.1085172
557,Hwang Hee-chan,MID,1.1070993
360,James McAtee,MID,1.0472285
165,Josh Cullen,MID,1.0431497
621,Jack Hinshelwood,MID,1.038949
349,Kevin De Bruyne,MID,1.0128062
442,Danilo dos Santos de Oliveira,MID,0.96655816
509,Richarlison de Andrade,MID,0.94142044
715,Jean-Ricner Bellegarde,MID,0.9108291
229,Will Hughes,MID,0.9097194
527,Maxwel Cornet,MID,0.9037778
259,Dwight McNeil,MID,0.8768464
78,Dango Ouattara,MID,0.84474367
823,Oliver Arblaster,MID,0.8353862
513,Pape Matar Sarr,MID,0.8037461
261,Amadou Onana,MID,0.79176784
58,Youri Tielemans,MID,0.78476405
601,Arnaut Danjuma Groeneveld,MID,0.7787946
661,Jack Harrison,MID,0.7782398
423,Jacob Murphy,MID,0.7702128
320,Jordan Clark,MID,0.762254
282,Harrison Reed,MID,0.7299911
605,Luca Koleosho,MID,0.71073
376,Carlos Henrique Casimiro,MID,0.6940357
582,Pelly Ruddock Mpanzu,MID,0.6683928
690,Carlos Baleba,MID,0.6340566
120,Yegor Yarmoliuk,MID,0.6292102
55,Jacob Ramsey,MID,0.6288172
9,Jorge Luiz Frello Filho,MID,0.59617877
240,Jeffrey Schlupp,MID,0.5786215
40,Leander Dendoncker,MID,0.52712125
644,Alex Scott,MID,0.50576496
705,Luis Sinisterra,MID,0.49180427
488,Oliver Norwood,MID,0.44588047
300,Curtis Jones,MID,0.42958117
666,Tom Davies,MID,0.42412528
709,Sofyan Amrabat,MID,0.34572172
354,Jack Grealish,MID,0.32621807
107,Keane Lewis-Potter,MID,0.27958634
108,Bryan Mbeumo,MID,0.27593693
701,Saman Ghoddos,MID,0.26646432
492,Rodrigo Bentancur,MID,0.260885
627,Bobby Clark,MID,0.2600702
566,Matheus Luiz Nunes,MID,0.25793275
578,Reiss Nelson,MID,0.22889365
668,Wataru Endo,MID,0.22843453
254,Idrissa Gueye,MID,0.21884918
138,Adam Lallana,MID,0.20706649
803,Morgan Rogers,MID,0.19494203
364,Kalvin Phillips,MID,0.15665302
708,Ryan Gravenberch,MID,0.15602805
142,James Milner,MID,0.1392334
453,Orel Mangala,MID,0.020432375
775,Ben Brereton,MID,0.008243363
115,Kevin Schade,MID,-0.029641576
140,Solly March,MID,-0.04007811
64,David Brooks,MID,-0.11580588
21,Albert Sambi Lokonga,MID,-0.13330503
184,Anass Zaroury,MID,-0.14092188
675,Aaron Ramsey,MID,-0.2581598
62,Jaidon Anthony,MID,-0.28329673
