,total_points,goals_scoredALL,assistsALL,total_pointsALL,minutesALL,goals_concededALL,creativityALL,influenceALL,threatALL,bonusALL,bpsALL,ict_indexALL,clean_sheetsALL,red_cardsALL,yellow_cardsALL,now_costALL,GW,opponent_strength_overall,opponent_strength_attack,opponent_strength_defence,AV_assists_past5,AV_bonus_past5,AV_bps_past5,AV_clean_sheets_past5,AV_creativity_past5,AV_goals_conceded_past5,AV_goals_scored_past5,AV_ict_index_past5,AV_influence_past5,AV_minutes_past5,AV_threat_past5,AV_total_points_past5,AV_value_past5,team_strength_rank,opponent_strength_rank
33371,2,0,0,11,498,14,108.7,83.2,38,0,81,23.1,0,0,0,42,4,1145,1140,1150,0.0,0.0,6.6,0.0,6.98,0.8,0.0,1.32,5.76,30.8,0.4,1.0,43.4,18,10
33372,1,0,0,11,498,14,108.7,83.2,38,0,81,23.1,0,0,0,42,14,1100,1110,1090,0.0,0.0,6.8,0.0,7.88,1.0,0.0,1.52,6.44,31.4,0.8,1.0,43.2,18,13
33373,0,0,0,11,498,14,108.7,83.2,38,0,81,23.1,0,0,0,42,23,1105,1050,1160,0.0,0.0,3.8,0.0,5.5,0.6,0.0,0.96,3.6,17.2,0.4,0.8,43.0,18,6
33374,0,0,0,11,498,14,108.7,83.2,38,0,81,23.1,0,0,0,42,13,1100,1120,1085,0.0,0.0,3.8,0.0,5.5,0.6,0.0,0.96,3.6,17.2,0.4,0.8,43.2,18,16
33375,0,0,0,11,498,14,108.7,83.2,38,0,81,23.1,0,0,0,42,1,1100,1070,1135,0.0,0.0,6.4,0.0,13.6,1.2,0.0,2.16,7.48,34.8,0.4,0.6,43.6,18,9
33376,0,0,0,11,498,14,108.7,83.2,38,0,81,23.1,0,0,0,42,8,1230,1150,1310,0.0,0.0,4.0,0.0,9.02,1.0,0.0,1.42,4.76,20.8,0.4,0.2,43.6,18,5
33377,0,0,0,11,498,14,108.7,83.2,38,0,81,23.1,0,0,0,42,28,1100,1055,1145,0.0,0.0,3.2,0.0,8.1,0.8,0.0,1.22,4.08,18.0,0.0,0.0,43.4,18,12
33378,0,0,0,11,498,14,108.7,83.2,38,0,81,23.1,0,0,0,42,24,1040,1020,1060,0.0,0.0,3.2,0.0,8.1,0.8,0.0,1.22,4.08,18.0,0.0,0.0,43.4,18,20
33379,0,0,0,11,498,14,108.7,83.2,38,0,81,23.1,0,0,0,42,20,1190,1150,1230,0.0,0.0,3.2,0.0,8.1,0.8,0.0,1.22,4.08,18.0,0.0,0.0,43.4,18,8
33380,0,0,0,11,498,14,108.7,83.2,38,0,81,23.1,0,0,0,42,22,1210,1180,1240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,18,9
33381,1,0,0,11,498,14,108.7,83.2,38,0,81,23.1,0,0,0,42,16,1365,1360,1370,0.0,0.0,1.6,0.0,0.36,0.4,0.0,0.3,2.56,16.6,0.0,0.2,42.4,18,1
33382,1,0,0,11,498,14,108.7,83.2,38,0,81,23.1,0,0,0,42,12,1125,1130,1120,0.0,0.0,2.2,0.0,0.46,0.4,0.0,0.32,2.56,17.4,0.0,0.4,42.6,18,7
33383,0,0,0,11,498,14,108.7,83.2,38,0,81,23.1,0,0,0,42,25,1240,1210,1270,0.0,0.0,2.2,0.0,0.46,0.4,0.0,0.32,2.56,17.4,0.0,0.4,42.6,18,3
33384,0,0,0,11,498,14,108.7,83.2,38,0,81,23.1,0,0,0,42,7,1050,1050,1050,0.0,0.0,2.2,0.0,0.46,0.4,0.0,0.32,2.56,17.4,0.0,0.4,43.0,18,19
33385,0,0,0,11,498,14,108.7,83.2,38,0,81,23.1,0,0,0,42,21,1045,1050,1040,0.0,0.0,2.2,0.0,0.46,0.4,0.0,0.32,2.56,17.4,0.0,0.4,43.2,18,19
33386,1,0,0,11,498,14,108.7,83.2,38,0,81,23.1,0,0,0,42,3,1125,1080,1170,0.0,0.0,2.6,0.0,4.46,0.6,0.0,0.98,1.84,18.8,3.4,0.4,43.6,18,8
33387,0,0,0,11,498,14,108.7,83.2,38,0,81,23.1,0,0,0,42,5,1055,1050,1060,0.0,0.0,2.0,0.0,4.36,0.6,0.0,0.96,1.84,18.0,3.4,0.2,44.0,18,11
33388,0,0,0,11,498,14,108.7,83.2,38,0,81,23.1,0,0,0,42,29,1100,1125,1080,0.0,0.0,2.0,0.0,4.36,0.6,0.0,0.96,1.84,18.0,3.4,0.2,44.0,18,17
33389,0,0,0,11,498,14,108.7,83.2,38,0,81,23.1,0,0,0,42,7,1095,1125,1065,0.0,0.0,2.0,0.0,4.36,0.6,0.0,0.96,1.84,18.0,3.4,0.2,44.0,18,15
33390,1,0,0,11,498,14,108.7,83.2,38,0,81,23.1,0,0,0,42,18,1280,1210,1355,0.0,0.0,2.6,0.0,4.48,0.6,0.0,1.48,3.52,27.0,6.8,0.4,44.0,18,6
33391,0,0,0,11,498,14,108.7,83.2,38,0,81,23.1,0,0,0,42,9,1065,1050,1080,0.0,0.0,0.6,0.0,0.12,0.0,0.0,0.52,1.68,9.0,3.4,0.2,43.8,18,17
33392,0,0,0,11,498,14,108.7,83.2,38,0,81,23.1,0,0,0,42,27,1285,1220,1350,0.0,0.0,0.6,0.0,0.12,0.0,0.0,0.52,1.68,9.0,3.4,0.2,43.2,18,4
33417,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,10,1070,1080,1060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,5,16
33418,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,22,1100,1055,1150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,5,13
33419,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,23,1095,1125,1065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,5,15
33420,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,21,1125,1130,1120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,5,7
33421,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,6,1350,1370,1330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,5,2
33422,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,11,1190,1150,1230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,5,8
33423,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,9,1175,1180,1170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,5,11
33424,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,28,1160,1140,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,5,4
33425,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,15,1145,1140,1150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,5,10
33426,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,16,1280,1210,1355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,5,6
33427,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,4,1045,1050,1040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2,5,19
33428,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,24,1210,1180,1240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2,5,9
33429,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,3,1100,1055,1145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,5,12
33430,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,19,1100,1070,1135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,5,9
33431,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,13,1285,1220,1350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,5,4
33432,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,17,1065,1050,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2,5,17
33433,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,12,1100,1085,1115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2,5,14
33434,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,5,1040,1020,1060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,5,20
33435,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,29,1055,1050,1060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,5,11
33436,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,7,1370,1350,1390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,5,3
33437,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,2,1220,1210,1230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.2,5,7
33438,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,1,1100,1110,1090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,5,13
33439,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,20,1100,1130,1075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,5,12
33440,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,44,18,1100,1125,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.4,5,15
